Scenario,Approach,parameter,Iteration,Country,Club,tag,EV,EV_previous_round,Max_Iteration,Bool
Scenario_D,Diplomatic,qo,29,peru,outside,producer,-228.180053710938,-216.443695068359,49,No
Scenario_D,Diplomatic,qxw,30,angdrc,outside,producer,1.19288158416748,4.55786037445068,49,No
Scenario_D,Realistic_wo_china,qo,4,canada,inside,non-producer,129.065246582031,144.52685546875,5,No
Scenario_D,Diplomatic,qo,44,madagascar,outside,non-producer,-16.2004623413086,-14.7800750732422,49,No
Scenario_D,Diplomatic,qxw,19,madagascar,outside,non-producer,-15.4993476867676,-14.787015914917,49,No
Scenario_D,Diplomatic,qxw,5,russia,outside,non-producer,-13.984468460083,-6.19837713241577,49,No
Scenario_D,Diplomatic,qxw,2,mena,outside,non-producer,-231.619766235352,-238.902038574219,49,No
Scenario_D,Realistic_wi_china,qoes,1,china,inside,non-producer,-185.029342651367,80.0018310546875,5,No
Scenario_D,Diplomatic,qxw,37,mexico,inside,non-producer,170.093414306641,160.286499023438,49,No
Scenario_D,Diplomatic,qxw,19,restofworld,outside,non-producer,-174.742645263672,-164.652420043945,49,No
Scenario_D,Diplomatic,qo,26,bolivia,outside,producer,-288.1748046875,31.9098072052002,49,No
Scenario_D,Diplomatic,qo,14,mexico,inside,non-producer,199.00895690918,234.721954345703,49,No
Scenario_D,Realistic_wo_china,qxw,2,mena,outside,non-producer,-247.867492675781,-280.439819335938,5,No
Scenario_D,Diplomatic,qxw,37,angdrc,outside,producer,-3.73091697692871e-02,1.19288158416748,49,No
Scenario_D,Diplomatic,qo,4,mexico,inside,non-producer,-457.351135253906,2.8583927154541,49,No
Scenario_D,Diplomatic,qo,26,uk,inside,non-producer,-371.766265869141,-321.822509765625,49,No
Scenario_D,Diplomatic,qxw,13,japan,inside,non-producer,-188.6044921875,-201.4580078125,49,No
Scenario_D,Realistic_wo_china,qo,3,japan,inside,non-producer,-191.618896484375,-183.241821289062,5,No
Scenario_D,Realistic_wi_china,qxw,0,china,outside,non-producer,80.0018310546875,0,5,No
Scenario_D,Diplomatic,qo,25,oceania,inside,non-producer,222.235260009766,274.707214355469,49,No
Scenario_D,Diplomatic,qxw,27,venezuela,outside,non-producer,7.34677648544312,-2.92630195617676,49,No
